nombre;descripcion;precio;imagen;subcategoria
aceite de oliva 0,4º hacendado;garrafa 5 l;15,5;https://prod-mercadona.imgix.net/images/af5f40fa72d3697d7075c9549fcbc436.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de oliva 0,4º hacendado;botella 1 l;3,2;https://prod-mercadona.imgix.net/images/2c743e0d97f21942ee6bd90bfd3815c2.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de oliva virgen extra hacendado;garrafa 3 l;11;https://prod-mercadona.imgix.net/images/84dff1a1f7758de4eeec7379601d621a.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de oliva virgen extra hacendado;botella 1 l;3,95;https://prod-mercadona.imgix.net/images/95e2ef19ef820cb3d5c627f4594848f6.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de oliva virgen extra hacendado gran selección;botella 750 ml;4,1;https://prod-mercadona.imgix.net/images/c3e8846a55133907859ddcbb2c0fbe67.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de oliva 1º hacendado;garrafa 5 l;15,5;https://prod-mercadona.imgix.net/images/761385e33fbbfe820a79f0a90321867f.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de oliva 1º hacendado;botella 1 l;3,2;https://prod-mercadona.imgix.net/images/198589245f81413622617b60c0b612c1.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de oliva virgen hacendado;garrafa 3 l;10;https://prod-mercadona.imgix.net/images/e58a263f9514576e38a96724b3104f9b.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de oliva virgen hacendado;botella 1 l;3,5;https://prod-mercadona.imgix.net/images/757bfa26b0cb4a0e76cebf3622ef348a.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de oliva virgen extra hacendado;spray 200 ml;2;https://prod-mercadona.imgix.net/images/db81ecc45d41a42e856c83bdc908640c.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de oliva virgen extra picual casa juncal;botella 500 ml;3,95;https://prod-mercadona.imgix.net/images/ecabac485cdbf5d0c8351eab26804e9e.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de girasol refinado 0,2º hacendado;garrafa 5 l;7,7;https://prod-mercadona.imgix.net/images/6f7bda10bef3e59d9e5abe798711ea87.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de girasol refinado 0,2º hacendado;botella 1 l;1,6;https://prod-mercadona.imgix.net/images/ea6dde0052a7744ca258255c4938964e.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de aguacate ethnos;botella 250 ml;5;https://prod-mercadona.imgix.net/images/dea45321c2646e6e01a12847f1b2ab62.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de coco virgen hacendado;bote 450 ml;4,5;https://prod-mercadona.imgix.net/images/4b73d0063a13ed91219d84e7dd70d22d.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
vinagre de vino blanco hacendado;botella 1 l;0,47;https://prod-mercadona.imgix.net/images/800b96661c0001f45cebc3ee12a4709a.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
vinagre balsámico de módena hacendado;botella 250 ml;1,15;https://prod-mercadona.imgix.net/images/6e6409e684f3c6c7834554ed3933b9a2.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
vinagre de manzana hacendado;botella 1 l;0,62;https://prod-mercadona.imgix.net/images/98d5a34a0d30798bbdc520993f63e542.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
limón exprimido hacendado;botella 280 ml;0,88;https://prod-mercadona.imgix.net/images/802d61bae30f424fa8315698f9f245db.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
crema de vinagre balsámico de módena hacendado;botella 250 g;1,6;https://prod-mercadona.imgix.net/images/d23cb7535fe0a9e9e053713faff31b93.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
vinagre de jerez reserva hacendado;botella 250 ml;1,2;https://prod-mercadona.imgix.net/images/bfa0c4aabf80adf4cd9a390df6aa7184.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
bebida aromatizada a base de vino para cocinar abuela carola;botella 750 ml;1,9;https://prod-mercadona.imgix.net/images/26999f3c12b8c4fccdc79f2ebabf3228.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
vinagre de vino tinto hacendado;botella 1 l;0,57;https://prod-mercadona.imgix.net/images/fb5cf74e1fa94ca426ccb18936b31dc7.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
reducción de vinagre pedro ximénez hacendado;botella 300 g;2;https://prod-mercadona.imgix.net/images/0f2f3566dedc310f8330782da97cff7b.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
aceite de oliva, vinagre y sal merry;15 monodosis x 10 ml;1,35;https://prod-mercadona.imgix.net/images/76415f87b3e97c28177c7d42b0beac62.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
crema de vinagre balsámico de manzana hacendado;botella 250 g;2,15;https://prod-mercadona.imgix.net/images/0746c9997630504c31cf7466af93e815.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
sal fina hacendado;paquete 1 kg;0,22;https://prod-mercadona.imgix.net/images/7873137d1afe44deeb4fff285430438f.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
sal fina de mesa hacendado;bote 250 g;0,38;https://prod-mercadona.imgix.net/images/305caeccba65d94cd61193fcbcb15ea3.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
sal yodada fina hacendado;paquete 1 kg;0,22;https://prod-mercadona.imgix.net/images/231e6cb75fe4057eb7bd1b26c2d4381b.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
sal gruesa hacendado;paquete 1 kg;0,2;https://prod-mercadona.imgix.net/images/a81a22fc505bece2f093574d3486204a.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
bicarbonato sódico hacendado;paquete 1 kg;1,19;https://prod-mercadona.imgix.net/images/ed1ebfa8c76af67dc21a385de31fc778.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
bicarbonato sódico hacendado;bote 300 g;0,45;https://prod-mercadona.imgix.net/images/f9ae0f4b0970e8356b7834aec85514f6.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
sal marina en escamas polasal;bote 125 g;1,85;https://prod-mercadona.imgix.net/images/36bc3658a807997961ec5fda23dd948e.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
sal gruesa para hornear hacendado;paquete 2 kg;0,71;https://prod-mercadona.imgix.net/images/07c7c790c661903662af0cd70e1f05b2.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
sal de ajo hacendado;bote 130 g;1;https://prod-mercadona.imgix.net/images/dc0ac8fb4a4c2cad7a303531902975c2.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
sal de frutas sabor limón hacendado;bote 250 g;1,59;https://prod-mercadona.imgix.net/images/5ba4d62436d14a7cc28378beb8629a46.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
sal 60% menos de sodio hacendado;bote 250 g;1,2;https://prod-mercadona.imgix.net/images/94a6e7709ae88d33abaf61dc7bfaec2a.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
molinillo sal marina con hierbas hacendado;bote 110 g;1,6;https://prod-mercadona.imgix.net/images/8838278924e621026bba5c109c54beaf.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
preparado para salmón ahumado hacendado;bote 750 g;2;https://prod-mercadona.imgix.net/images/2d9a1b6261e7d82f5ebc6d0c43933732.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
sal rosa del himalaya hacendado;bote 250 g;1,7;https://prod-mercadona.imgix.net/images/991e60bbdb74fba917c9e25a05d2ab78.jpg?fit=crop&h=300&w=300;aceite, vinagre y sal
orégano hacendado;bote 18 g;0,56;https://prod-mercadona.imgix.net/images/6e686716fc8207126d4cdf76001154a0.jpg?fit=crop&h=300&w=300;especias
perejil hacendado;bote 14 g;0,55;https://prod-mercadona.imgix.net/images/8064438096619d438bd6ce8afe26b9c4.jpg?fit=crop&h=300&w=300;especias
hoja de laurel hacendado;paquete 12 g;0,66;https://prod-mercadona.imgix.net/images/1edacb552ebd79faf18950060840a8d7.jpg?fit=crop&h=300&w=300;especias
hierbas provenzales hacendado;bote 25 g;0,7;https://prod-mercadona.imgix.net/images/5b9c78c7f1cd391bb7f18befd034810e.jpg?fit=crop&h=300&w=300;especias
albahaca hacendado;bote 20 g;0,65;https://prod-mercadona.imgix.net/images/d87b373fe164be3ccc97e7e793f06d30.jpg?fit=crop&h=300&w=300;especias
romero hacendado;bote 40 g;0,8;https://prod-mercadona.imgix.net/images/d4beecf9145c60b39202831945567b99.jpg?fit=crop&h=300&w=300;especias
tomillo hacendado;bote 28 g;0,69;https://prod-mercadona.imgix.net/images/d67ddabfba335892a20bd40b6044ee80.jpg?fit=crop&h=300&w=300;especias
eneldo hojas hacendado;bote 22 g;1,05;https://prod-mercadona.imgix.net/images/62646875583b352df864c8c7e81a3336.jpg?fit=crop&h=300&w=300;especias
cilantro hacendado;bote 12 g;1,15;https://prod-mercadona.imgix.net/images/3534108749e38bab130335532625ad97.jpg?fit=crop&h=300&w=300;especias
colorante alimentario hacendado;bote 85 g;0,59;https://prod-mercadona.imgix.net/images/5295e2d5835d00be215aaa595f54e5ef.jpg?fit=crop&h=300&w=300;especias
colorante alimentario hacendado;caja 25 sobres (35 g);1;https://prod-mercadona.imgix.net/images/40f64c4a6de17cfbaa255cb98e38e35d.jpg?fit=crop&h=300&w=300;especias
pimentón dulce hacendado;bote 56 g;0,55;https://prod-mercadona.imgix.net/images/8e7ae3748b8a28c40ddb33b6ab716b22.jpg?fit=crop&h=300&w=300;especias
pimentón dulce hacendado;bote 75 g;0,9;https://prod-mercadona.imgix.net/images/f36ba84f3f573b9dd2c12d3ba617df4c.jpg?fit=crop&h=300&w=300;especias
pimentón dulce de la vera hacendado;bote 75 g;1,38;https://prod-mercadona.imgix.net/images/63f59cdb1c9ab67fecbd1fce5d076e2c.jpg?fit=crop&h=300&w=300;especias
azafrán molido hacendado;paquete 4 sobres (0,4 g);1,55;https://prod-mercadona.imgix.net/images/d79e295f90865210d4a83792f316b66a.jpg?fit=crop&h=300&w=300;especias
azafrán hebra hacendado;paquete 3 usos (0,38 g);1,5;https://prod-mercadona.imgix.net/images/6b28a5275722bf42ecd58cac70a7497f.jpg?fit=crop&h=300&w=300;especias
pimentón picante hacendado;bote 60 g;0,75;https://prod-mercadona.imgix.net/images/dd36772fe348ba0407da62b713697757.jpg?fit=crop&h=300&w=300;especias
pimentón picante de la vera hacendado;bote 75 g;1,45;https://prod-mercadona.imgix.net/images/62b7af90a378a4959f19343e2b2b1f74.jpg?fit=crop&h=300&w=300;especias
pimienta negra molida hacendado;bote 70 g;0,69;https://prod-mercadona.imgix.net/images/96f822a838ce65086ccfea6850d79515.jpg?fit=crop&h=300&w=300;especias
molinillo pimienta negra hacendado;bote 65 g;1,32;https://prod-mercadona.imgix.net/images/49b3bd0fa174cdf183dcff874c117f5c.jpg?fit=crop&h=300&w=300;especias
pimienta negra en grano hacendado;bote 70 g;0,75;https://prod-mercadona.imgix.net/images/e73653c8abe8581ba303c72cf3b0fb07.jpg?fit=crop&h=300&w=300;especias
molinillo mix pimientas hacendado;bote 50 g;1,4;https://prod-mercadona.imgix.net/images/06c30b87559d32f073f6e0c92b84a1ba.jpg?fit=crop&h=300&w=300;especias
pimienta blanca molida hacendado;bote 70 g;1,05;https://prod-mercadona.imgix.net/images/9c532116b911f79271c4cd19674ca6bc.jpg?fit=crop&h=300&w=300;especias
ajo granulado hacendado;bote 85 g;0,67;https://prod-mercadona.imgix.net/images/9e98d166da3de55d5dad3f3051b62ce2.jpg?fit=crop&h=300&w=300;especias
piñones ibéricos hacendado;bote 50 g;4,55;https://prod-mercadona.imgix.net/images/ddb724e60f464fe38d24cbca3c90adb8.jpg?fit=crop&h=300&w=300;especias
cebolla frita crujiente hacendado;bote 150 g;0,85;https://prod-mercadona.imgix.net/images/3573a3b57e4319fa401e84cf2b385c79.jpg?fit=crop&h=300&w=300;especias
